name,number,material,thickness,length,width,bend_nums,radius,tool_exchange,side,schroder,henra,special,weight
Blacha burty ocynkowana,005.280.01.00,OCYNK,1,1054,304.7,8,1.5,FAŁSZ,PRAWDA,PRAWDA,FAŁSZ,FAŁSZ,2.52
Słupek burty tylnej (P),005.280.02.10,OCYNK,2,222,83,2,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.29
Słupek burty tylnej (L),005.280.02.20,OCYNK,2,222,83,2,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.29
Podłużnica,006.100.03.02L,OCYNK,1.5,2645,163.9,2,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,5.1
Podłużnica,006.100.03.02P,OCYNK,1.5,2645,163.9,2,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,5.1
Belka wsporcza dyszla,006.120.002,OCYNK,2.5,276,138.7,2,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.75
Ramię dyszla,006.120.01L,OCYNK,2.5,1865,136.6,2,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,5
Ramię dyszla,006.120.01P,OCYNK,2.5,1865,136.6,2,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,5
Blacha burty bocznej,006.140.01.12L,OCYNK,0.8,2673,394,11,1.5,FAŁSZ,PRAWDA,PRAWDA,FAŁSZ,FAŁSZ,6.61
Blacha burty bocznej,006.140.01.12P,OCYNK,0.8,2673,394,11,1.5,FAŁSZ,PRAWDA,PRAWDA,FAŁSZ,FAŁSZ,6.61
Słupek burty bocznej tył,006.140.02L,OCYNK,2,498,95.5,2,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.75
Słupek burty bocznej tył,006.140.02P,OCYNK,2,498,95.5,2,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.75
Słupek burty przedniej L,006.160.03.12L,OCYNK,2,399,95.82,1,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.6
Słupek burty przedniej P,006.160.03.12P,OCYNK,2,399,95.82,1,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.6
Słupek burty tylnej,006.180.02.12,OCYNK,1.5,308,95.9,2,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.35
Słupek burty tylnej,006.180.02.12,OCYNK,1.5,308,95.9,2,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.35
Słupek burty tylnej,006.180.02.22,OCYNK,1.5,308,95.9,2,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.35
Słupek burty tylnej,006.180.02.22,OCYNK,1.5,308,95.9,2,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.35
Blacha burty BIS przedniej,006.260.02.02,OCYNK,1,1250,414.92,12,1.5,FAŁSZ,PRAWDA,PRAWDA,FAŁSZ,FAŁSZ,4.07
Łącznik burty BIS,006.260.03.14,OCYNK,2,100,61.5,1,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.1
Blacha burty tylnej bis,006.280.01.02,OCYNK,1,1238,405.48,12,1.5,FAŁSZ,PRAWDA,PRAWDA,FAŁSZ,FAŁSZ,3.94
Słupek burty bis tylnej,006.280.02.12,OCYNK,2,318,96.5,2,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.48
Słupek burty bis tylnej,006.280.02.22,OCYNK,2,318,96.5,2,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.48
Łącznik belki,007.100.008,CZARNA,2.5,389,304.8,4,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,2.33
Podłużnica boczna L,007.100.01L,CZARNA,2.5,5005,216,4,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,21.22
Podłużnica boczna P,007.100.01P,CZARNA,2.5,5005,216,4,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,21.22
Wspornik zapinacza,007.100.029,CZARNA,5,100,270.8,2,5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,1.06
